"Phiên Bản","Linh Kiện","Trọng Số","Yêu Cầu Kỹ Thuật Chi Tiết","Tên Linh Kiện (Cửa hàng điền)","Giá Tiền (Cửa hàng điền)","Ghi Chú"
"Phiên Bản 1 (VGA 16GB)","1. GPU (Card Đồ Họa)","45%","1x NVIDIA RTX 5060 Ti - BẢN 16GB VRAM. (Nếu không có lấy RTX 4060 Ti 16GB. Bắt buộc bản 16GB VRAM, không AMD)","","",""
"Phiên Bản 1 (VGA 16GB)","2. Nguồn (PSU)","12%","750W chuẩn 80 Plus Gold (Tier A như Corsair, Seasonic, FSP)","","",""
"Phiên Bản 1 (VGA 16GB)","3. RAM","10%","64GB DDR5 (2x32GB) Bus 5600-6000MHz","","",""
"Phiên Bản 1 (VGA 16GB)","4. Storage (Ổ cứng)","10%","1TB NVMe SSD Gen 4 (Chỉ số độ bền TBW > 1000 như Samsung 990 Pro, WD SN850X)","","",""
"Phiên Bản 1 (VGA 16GB)","5. CPU","8%","Intel Core i5-13600K hoặc AMD Ryzen 5 7600X (hoặc i5-13400F)","","",""
"Phiên Bản 1 (VGA 16GB)","6. Tản nhiệt & Quạt gió","8%","Tản nhiệt CPU tháp đôi (Noctua NH-D15, Thermalright FC140) + Tối đa quạt Case","","",""
"Phiên Bản 1 (VGA 16GB)","7. Mainboard","5%","B760 (Intel) hoặc B650 (AMD). Yêu cầu tản nhiệt VRM tốt (Mortar, TUF, Aorus)","","",""
"Phiên Bản 1 (VGA 16GB)","8. Vỏ Case (Chassis)","2%","Mid-Tower mặt lưới (Mesh) thoáng. KHÔNG kính cường lực hay LED","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","1. GPU (Card Đồ Họa)","45%","1x NVIDIA RTX 3090 24GB (CŨ/LIKE NEW). Đã tra lại keo tản nhiệt, test full-load <80 độ C","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","2. Nguồn (PSU)","12%","1000W chuẩn 80 Plus Gold/Platinum. Hãng Tier A (Card 3090 chịu tải gắt)","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","3. RAM","10%","64GB DDR5 (2x32GB)","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","4. Storage (Ổ cứng)","10%","1TB NVMe SSD Gen 4 (Samsung 990 Pro hoặc tương đương)","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","5. CPU","8%","Intel Core i5-13600K hoặc Core i7-13700K","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","6. Tản nhiệt & Quạt gió","8%","Tản nhiệt nước AIO 360mm hoặc Khí Tháp Đôi loại cực lớn + Full quạt Airflow công nghiệp","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","7. Mainboard","5%","Z790 (Intel) hoặc X670 (AMD). Dàn VRM mạnh mẽ chịu tải qua đêm","","",""
"Phiên Bản 2 (VGA 24GB Cũ)","8. Vỏ Case (Chassis)","2%","Full-Tower hoặc Mid-Tower siêu lớn mặt lưới (Mesh). Có thanh chống VGA","","",""
